,Title,Genre,G_news,Vader,Polar,Subject,IMDB
413,Satya 2,2,0.4,0.12,0.06,0.27,6.0
414,Rajjo,4,0.45,0.19,0.06,0.22,3.4
415,Goliyon Ki Rasleela Ram-Leela,4,0.55,0.67,0.0,0.07,6.4
416,Gori Tere Pyaar Mein,3,0.45,0.0,0.0,0.0,5.0
417,Singh Saab The Great,2,0.6,0.69,0.65,0.68,5.8
418,Bullett Raja,2,0.55,0.0,0.0,0.04,5.0
419,R... Rajkumar,2,0.45,0.16,0.14,0.27,5.2
420,What the Fish,1,0.6,0.12,0.15,0.36,5.2
421,Dhoom 3,2,0.45,0.16,0.05,0.38,5.4
422,Mr Joe B. Carvalho,2,0.5,0.44,0.4,0.4,3.7
423,Sholay 3D,2,0.55,0.0,0.0,0.0,7.7
424,Dedh Ishqiya,3,0.6,0.35,0.33,0.57,7.1
425,Yaariyan,4,0.5,0.19,0.18,0.34,2.7
426,Karle Pyaar Karle,2,0.45,0.89,0.82,1.0,3.0
427,Miss Lovely,6,0.45,0.61,0.39,0.61,6.6
428,Paranthe Wali Gali,4,0.55,0.0,-0.18,0.34,5.1
429,Strings Of Passion,4,0.5,0.54,0.41,0.41,6.9
430,Jai Ho,2,0.65,0.23,0.22,0.39,5.3
431,One by Two,3,0.5,0.08,0.08,0.36,4.2
432,Babloo Happy Hai,3,0.7,0.0,0.0,0.0,6.7
433,Hasee Toh Phasee,3,0.6,0.21,0.13,0.29,6.8
434,Heartless,4,0.3,-0.45,-0.04,0.41,6.0
435,Ya Rab,4,0.4,0.19,0.15,0.29,8.0
436,Gunday,2,0.55,0.2,0.15,0.27,2.2
437,Darr @ the Mall,7,0.5,0.0,0.0,0.0,5.0
438,Dee Saturday Night,3,0.5,0.14,0.06,0.41,8.1
439,Highway,4,0.45,0.02,0.04,0.27,7.0
440,Karar: The Deal,5,0.35,0.0,0.0,0.0,4.3
441,Anuradha,4,0.55,0.2,0.12,0.39,6.8
442,Shaadi Ke Side Effects,3,0.6,-0.1,-0.03,0.05,5.6
443,Gulaab Gang,2,0.5,0.0,0.0,0.0,6.1
444,Queen,3,0.5,0.15,0.13,0.34,7.9
445,Total Siyapaa,3,0.5,0.0,0.0,0.0,6.5
446,Bewakoofiyaan,3,0.55,0.0,0.0,0.0,5.5
447,W,4,0.4,0.08,0.07,0.28,9.7
448,Ankhon Dekhi,3,0.55,0.23,0.32,0.57,8.0
449,Gang of Ghosts,3,0.5,0.03,0.05,0.19,3.7
450,Lakshmi,4,0.6,0.2,0.11,0.43,8.1
451,Ragini MMS 2,7,0.55,0.12,0.07,0.53,3.9
452,Dishkiyaoon,2,0.6,-0.38,0.4,0.4,5.3
453,O Teri,3,0.55,0.23,0.18,0.34,6.0
454,Youngistaan,4,0.55,-0.02,0.07,0.23,5.2
455,Ebn-E-Batuta,6,0.6,0.0,0.0,0.0,4.5
456,Honour Killing,4,0.3,-0.25,0.02,0.3,2.3
457,Jal,4,0.5,0.12,0.1,0.39,6.7
458,Main Tera Hero,2,0.55,0.55,0.14,0.41,5.3
459,Bhoothnath Returns,3,0.55,0.0,0.0,0.4,6.8
460,2 States,3,0.55,0.12,0.09,0.34,6.7
461,Dekh Tamasha Dekh,3,0.55,0.02,0.09,0.32,6.1
462,Lucky Kabootar,3,0.6,0.42,0.33,0.83,5.5
463,Kaanchi...,4,0.55,0.0,0.0,0.0,4.6
464,Revolver Rani,2,0.5,-0.06,0.0,0.29,4.8
465,Samrat & Co.,6,0.45,0.72,0.46,0.74,6.4
466,Purani Jeans,4,0.6,0.16,0.13,0.3,6.2
467,Kya Dilli Kya Lahore,4,0.55,0.0,0.0,0.0,7.5
468,Angry Young Man,2,0.4,-0.37,-0.09,0.59,6.4
469,Kahin Hai Mera Pyar,4,0.5,0.0,0.0,0.0,6.5
470,Hawaa Hawaai,4,0.55,0.46,0.3,0.9,7.4
471,Khwaabb,4,0.55,0.0,0.0,0.0,5.6
472,Koyelaanchal,2,0.5,0.0,0.0,0.0,5.7
473,Manjunath,6,0.5,0.13,0.09,0.3,7.2
474,Yeh Hai Bakrapur,3,0.5,0.0,0.0,0.0,3.8
475,The Xpos??,6,0.5,-0.03,0.03,0.3,4.3
476,Children of War,4,0.3,-0.37,-0.01,0.34,6.8
477,Heropanti,2,0.65,0.13,0.19,0.36,5.3
478,Kochadaiiyaan,8,0.45,-0.04,0.04,0.14,6.5
479,City Lights,3,0.45,0.12,0.1,0.24,8.5
480,Kuku Mathur Ki Jhand Ho Gayi,3,0.45,0.0,0.0,0.0,5.4
481,Filmistaan,3,0.55,0.34,0.07,0.1,7.3
482,Holiday,3,0.65,0.36,0.08,0.35,5.8
483,Fugly,4,0.5,-0.12,-0.02,0.36,4.7
484,Machhli Jal Ki Rani Hai,7,0.55,0.0,0.0,0.0,3.0
485,Humshakals,3,0.5,-0.1,-0.05,0.35,1.8
486,Ek Villain,2,0.55,-0.12,0.2,0.34,6.5
487,Bobby Jasoos,3,0.5,0.0,0.0,0.0,5.5
488,Lekar Hum Deewana Dil,3,0.6,0.0,0.12,0.17,5.0
489,Humpty Sharma Ki Dulhania,3,0.5,0.41,0.2,0.37,6.1
490,Hate Story 2,4,0.4,-0.18,-0.17,0.54,4.4
491,Bazaar-E-Husn,4,0.55,0.0,0.0,0.0,5.0
492,Riyasat,6,0.6,0.06,0.08,0.24,6.5
493,Amit Sahni Ki List,3,0.5,0.23,0.5,0.5,5.5
494,Pizza,7,0.55,0.16,0.1,0.39,6.3
495,Kick,2,0.4,-0.04,0.04,0.26,8.0
496,Entertainment,4,0.7,0.26,0.13,0.36,5.7
497,Singham Returns,2,0.55,0.05,0.13,0.32,5.7
498,Life is Beautiful!,3,0.8,0.58,0.43,0.68,8.6
499,Mad About Dance,4,0.4,-0.13,-0.22,0.7,6.2
500,Mardaani,2,0.65,0.04,0.04,0.55,7.3
501,Mumbhai Connection,3,0.4,0.0,0.0,0.0,5.6
502,Abhinay Chakra,2,0.6,0.0,0.0,0.0,3.5
503,Raja Natwarlal,6,0.5,0.14,-0.02,0.11,6.1
504,Mary Kom,2,0.6,0.26,0.19,0.33,6.8
505,Creature,7,0.5,0.13,0.09,0.45,4.3
506,Finding Fanny,1,0.55,0.11,0.04,0.17,5.8
507,Daawat-E-Ishq,3,0.6,0.0,0.0,0.0,6.2
508,Khoobsurat,3,0.5,0.19,0.15,0.29,6.4
509,3 A.M.,6,0.55,0.06,0.06,0.38,5.9
510,Chaarfutiya Chhokare,4,0.55,0.0,0.0,0.0,6.3
511,Desi Kattey,2,0.6,0.0,0.0,0.0,4.4
512,Meinu Ek Ladki Chaahiye,3,0.55,0.0,0.0,0.0,3.5
513,Balwinder Singh Famous Ho Gaya,3,0.6,0.0,0.0,0.0,3.9
514,Bang Bang!,3,0.65,0.08,0.07,0.34,8.2
515,Haider,2,0.55,0.2,0.13,0.29,8.1
516,Jigariyaa,4,0.5,0.0,0.0,0.0,5.0
517,Ekkees Toppon Ki Salaami,3,0.5,0.0,0.0,0.0,6.2
518,Tamanchey,6,0.55,0.0,0.0,0.0,4.6
519,Mumbai 125 KM 3D,4,0.5,0.0,0.0,0.0,2.9
520,Sonali Cable,3,0.5,0.0,0.0,0.0,5.6
521,Happy New Year,3,0.55,0.59,0.4,0.65,5.1
522,Mumbai Can Dance Saala,4,0.6,0.0,0.0,0.0,2.8
523,Fireflies,4,0.5,0.17,0.15,0.32,7.0
524,Roar - Tigers of Sunderbans,2,0.5,0.0,0.0,0.0,5.7
525,Super Nani,3,0.6,0.55,0.26,0.51,8.5
526,Chaar Sahibzaade,8,0.55,-0.48,-0.16,0.29,8.3
527,Rang Rasiya,4,0.5,0.09,0.06,0.19,7.3
528,A Decent Arrangement,3,0.5,0.33,0.15,0.44,5.7
529,The Shaukeens,3,0.6,0.0,0.0,0.0,5.2
530,6 - 5 = 2,7,0.55,0.16,-0.01,0.32,6.1
531,Kill Dil,2,0.5,-0.33,0.08,0.28,4.4
532,Golu Aur Pappu,3,0.4,-0.44,0.0,0.25,4.5
533,Happy Ending,4,0.6,0.55,0.54,0.81,7.7
534,Titoo MBA,3,0.65,0.0,0.0,0.0,4.7
535,Wah Taj,4,0.55,0.1,0.19,0.31,6.1
536,Hum Hai Teen Khurafaati,3,0.5,0.0,0.0,0.0,7.0
537,Ungli,6,0.45,0.01,0.05,0.25,5.8
538,Zed Plus,3,0.4,0.18,0.09,0.46,6.4
539,Zid,6,0.45,0.05,0.02,0.19,4.4
540,Action Jackson,2,0.5,0.09,0.07,0.29,5.3
541,Bhopal: A Prayer for Rain,4,0.4,-0.04,0.12,0.25,7.3
542,Mumbai Delhi Mumbai,3,0.55,0.07,0.07,0.3,5.8
543,Sulemani Keeda,3,0.5,0.08,0.0,0.1,7.2
544,Take It Easy,4,0.6,0.35,0.23,0.67,7.8
545,Badlapur Boys,4,0.5,-0.27,-0.13,0.3,4.8
546,Main Aur Mr. Riight,3,0.55,0.0,0.0,0.0,5.7
547,Room - The Mystery,5,0.4,0.07,0.06,0.39,4.1
548,PK,3,0.4,0.07,0.07,0.22,8.2
549,Lingaa,2,0.45,-0.05,-0.06,0.36,5.8
550,Ugly,6,0.15,-0.36,-0.36,0.8,5.7
551,International Hero,2,0.65,0.25,0.04,0.25,5.6
552,Mumbai Can Dance Saala,4,0.6,0.0,0.0,0.0,2.8
553,Take It Easy,4,0.6,0.35,0.23,0.67,7.8
554,Tevar,2,0.75,0.2,0.14,0.33,4.2
555,Alone,6,0.4,-0.08,0.08,0.4,8.4
556,Crazy Cukkad Family,3,0.45,0.0,0.0,0.0,5.3
557,Sharafat Gayi Tel Lene,3,0.5,0.0,0.0,0.0,5.2
558,Baby,4,0.55,0.14,0.12,0.27,7.6
559,Dolly Ki Doli,3,0.5,-0.08,-0.01,0.34,4.6
560,Chal Guru Ho Ja Shuru,3,0.55,0.0,0.0,0.0,4.9
561,Hawaizaada,6,0.5,0.5,0.15,0.33,5.6
562,Khamoshiyan: Silences Have Secrets,4,0.55,0.0,0.0,0.0,4.1
563,Rahasya,6,0.4,0.12,0.12,0.22,7.6
564,Jai Jawaan Jai Kisaan,6,0.5,0.07,0.17,0.41,5.4
565,Shamitabh,4,0.5,-0.58,-0.18,0.49,6.8
566,MSG: The Messenger,2,0.5,0.07,0.08,0.22,6.6
567,Roy,2,0.45,0.12,0.09,0.38,6.6
568,Badlapur,2,0.5,0.02,0.07,0.26,7.5
569,Qissa,4,0.5,0.1,0.13,0.25,6.6
570,Ab Tak Chhappan 2,2,0.5,0.0,0.0,0.0,5.8
571,Dum Laga Ke Haisha,3,0.6,0.77,0.23,0.49,7.5
572,Badmashiyaan,3,0.6,0.0,0.0,0.0,4.7
573,Coffee Bloom,4,0.5,0.38,0.22,0.42,6.5
574,Dirty Politics,4,0.35,-0.31,-0.22,0.58,2.6
575,Hey Bro,2,0.55,0.18,0.1,0.29,3.4
576,NH10,2,0.55,0.43,0.05,0.41,7.2
577,Dilliwali Zaalim Girlfriend,3,0.45,0.0,0.0,0.0,3.8
578,Hunterrr,3,0.5,0.06,0.05,0.41,7.0
579,Barkhaa,4,0.4,-0.04,0.0,0.5,5.2
580,Detective Byomkesh Bakshy,2,0.5,0.32,0.21,0.25,7.6
581,Luckhnowi Ishq,4,0.55,0.0,0.0,0.0,6.6
582,Dharam Sankat Mein,3,0.45,0.0,0.0,0.12,6.3
583,Ek Paheli Leela,6,0.75,0.0,0.0,0.0,3.8
584,Court,4,0.65,0.0,-0.06,0.36,7.7
585,Margarita with a Straw,4,0.55,0.05,0.1,0.25,7.3
586,Mr. X,11,0.55,0.05,0.04,0.29,9.8
587,NH-8 Road to Nidhivan,7,0.5,0.0,0.0,0.0,2.9
588,Ishq Ke Parindey,6,0.55,0.0,0.0,0.0,6.8
589,Kaagaz Ke Fools,3,0.45,0.0,0.0,0.0,3.9
590,Gabbar is Back,2,0.55,0.13,0.04,0.14,7.2
591,Sabki Bajegi Band,3,0.5,0.0,0.0,0.0,5.4
592,Kuch Kuch Locha Hai,3,0.75,-0.11,-0.06,0.27,2.6
593,Piku,3,0.45,0.21,0.16,0.34,7.6
594,Bombay Velvet,2,0.6,0.17,0.08,0.39,5.7
595,Main Hoon Rajinikanth,3,0.55,0.6,0.17,0.33,7.2
596,Tanu Weds Manu Returns,3,0.55,0.0,-0.08,0.17,7.7
597,Ishqedarriyaan,6,0.6,0.65,0.3,0.35,4.8
598,P Se PM Tak,3,0.55,0.0,0.0,0.0,3.9
599,Welcome 2 Karachi,1,0.65,0.46,0.4,0.45,4.4
600,Dil Dhadakne Do,3,0.55,0.13,0.13,0.35,6.8
601,Mere Genie Uncle 3D,3,0.5,0.0,0.0,0.0,4.5
602,Hamari Adhuri Kahani,4,0.55,0.15,0.29,0.51,6.7
603,ABCD 2,6,0.55,0.23,0.11,0.31,5.6
604,Miss Tanakpur Haazir Ho ,3,0.4,0.0,0.0,0.0,5.4
605,Uvaa,3,0.5,0.15,0.0,0.0,4.9
606,Bezubaan Ishq,6,0.6,0.0,0.0,0.0,4.0
607,Guddu Rangeela,3,0.65,0.0,0.1,0.2,5.3
608,Second Hand Husband,3,0.4,0.16,0.03,0.18,4.1
609,Baahubali,2,0.45,0.25,0.1,0.36,8.1
610,I Love NY,3,0.8,0.51,0.28,0.54,3.9
611,Thoda Lutf Thoda Ishq,3,0.5,0.0,0.0,0.0,4.1
612,Bajrangi Bhaijaan,2,0.5,0.1,0.04,0.42,8.0
613,Aisa Yeh Jahaan,4,0.5,0.0,0.0,0.0,7.1
614,Masaan,4,0.65,0.2,0.19,0.31,8.1
615,Drishyam,6,0.4,0.24,0.18,0.33,8.3
616,Bangistan,3,0.45,0.16,0.16,0.27,4.6
617,All Is Well,4,0.6,0.24,0.04,0.34,3.8
618,Gour Hari Dastaan,6,0.65,0.0,0.0,0.0,7.5
619,Manjhi - The Mountain Man,1,0.6,0.07,0.15,0.24,8.0
620,Kaun Kitney Paani Mein,3,0.6,0.0,0.0,0.0,6.2
621,Phantom,2,0.5,0.05,0.1,0.34,7.3
622,Welcome Back,3,0.75,0.48,0.36,0.47,4.2
623,Hero,2,0.8,0.46,0.15,0.31,9.6
624,Sorry Daddy,2,0.5,-0.02,-0.2,0.78,5.4
625,Katti Batti,3,0.55,-0.04,-0.04,0.09,4.9
626,Meeruthiya Gangster,6,0.5,0.0,0.0,0.0,7.2
627,MSG-2:The Messenger,3,0.45,0.0,0.0,0.06,7.1
628,Kis Kisko Pyaar Karoon,3,0.55,0.0,0.0,0.0,5.7
629,Calendar Girls,3,0.5,0.29,0.18,0.41,6.9
630,Bhaag Johnny,2,0.6,0.0,0.0,0.0,5.1
631,Time Out,2,0.6,0.11,0.07,0.37,6.5
632,Singh Is Bliing,2,0.5,0.36,0.0,0.0,5.3
633,Talvar,6,0.5,0.18,0.29,0.42,8.2
634,Jazbaa,2,0.5,0.14,0.14,0.26,5.8
635,Bumper Draw,3,0.5,0.47,0.26,0.27,5.0
636,Chinar Daastaan-E-Ishq,6,0.5,0.0,0.0,0.0,6.9
637,Pyaar Ka Punchnama 2,3,0.6,0.0,0.0,0.0,7.3
638,Wedding Pullav,3,0.55,0.0,0.0,0.0,4.0
639,Shaandaar,3,0.55,0.28,0.23,0.36,3.7
640,Titli,2,0.55,0.13,0.07,0.36,7.6
641,Main Aur Charles,2,0.55,0.02,0.2,0.28,6.3
642,Once Upon A Time In Bihar,5,0.45,0.48,0.22,0.46,9.7
643,Guddu Ki Gun,3,0.35,0.0,0.0,0.0,4.8
644,Love Exchange,4,0.65,0.54,0.3,0.52,5.9
645,Four Pillars of Basement,2,0.55,0.78,0.47,0.7,4.4
646,Charlie Kay Chakkar Mein,5,0.5,0.0,0.0,0.0,4.6
647,Yaara Silly Silly,6,0.55,0.28,-0.1,0.57,5.7
648,Ranbanka,2,0.5,0.05,0.07,0.3,4.5
649,Prem Ratan Dhan Payo,2,0.55,0.1,0.01,0.25,4.6
650,X,6,0.55,0.12,0.09,0.28,6.1
651,Angry Indian Goddesses,3,0.3,-0.16,-0.18,0.7,6.9
652,Tamasha,3,0.55,0.07,0.08,0.38,7.2
653,Hate Story 3,4,0.45,-0.18,-0.12,0.53,4.5
654,Kajarya,4,0.5,0.0,0.0,0.0,6.6
655,The Silent Heroes,1,0.75,0.3,0.08,0.35,6.6
656,Bajirao Mastani,2,0.6,0.15,0.12,0.41,7.2
657,Dilwale,2,0.55,0.21,0.13,0.35,5.2
658,Monsoon Shootout,2,0.6,-0.38,0.0,0.0,6.5
659,Wazir,2,0.45,-0.01,0.08,0.28,7.1
660,Chalk n Duster,4,0.55,0.0,0.0,0.0,6.6
661,Rebellious Flower,6,0.5,0.31,0.2,0.48,6.5
662,Airlift,4,0.55,0.0,0.06,0.23,8.1
663,Jugni,4,0.5,0.19,0.12,0.26,6.1
664,Kyaa Kool Hain Hum 3,3,0.6,0.0,0.0,0.0,1.9
665,Saala Khadoos,2,0.6,0.0,0.0,0.0,7.6
666,Mastizaade,3,0.55,0.2,0.21,0.49,2.4
667,Sanam Teri Kasam,4,0.55,0.11,0.06,0.35,7.3
668,Ghayal Once Again,2,0.65,0.04,-0.11,0.22,6.5
669,Fitoor,4,0.7,0.16,0.17,0.36,5.4
670,Sanam Re,4,0.45,0.13,0.18,0.31,3.2
671,Direct Ishq,2,0.4,0.0,0.0,0.0,4.0
672,Ishq Forever,6,0.45,0.23,0.19,0.49,3.8
673,LoveShhuda,3,0.5,0.0,0.0,0.0,4.5
674,Neerja,6,0.7,0.2,0.1,0.26,7.7
675,Dhara 302,4,0.5,0.0,0.0,0.0,4.7
676,Aligarh,6,0.15,-0.05,0.07,0.18,7.8
677,Bollywood Diaries,4,0.6,0.07,0.12,0.25,6.0
678,Love Shagun,3,0.75,0.39,0.38,0.47,5.8
679,Tere Bin Laden: Dead or Alive,3,0.5,0.0,0.0,0.0,4.3
680,Zubaan,4,0.55,0.04,0.01,0.35,6.1
681,Jai Gangaajal,6,0.5,0.0,0.0,0.0,5.7
682,Global Baba,5,0.55,0.14,0.06,0.18,5.6
683,Teraa Surroor,2,0.55,0.0,0.0,0.0,2.8
684,Kapoor & Sons,3,0.55,0.11,0.13,0.22,7.7
685,Rocky Handsome,2,0.45,0.54,0.42,0.81,6.8
686,Ki & Ka,3,0.7,0.07,0.08,0.29,5.8
687,Love Games,5,0.75,0.53,0.25,0.49,4.4
688,The Blueberry Hunt,2,0.65,0.55,0.38,0.69,5.7
689,Fan,2,0.65,0.28,0.08,0.38,5.8
690,Nil Battey Sannata,4,0.55,0.28,0.22,0.49,8.4
691,Laal Rang,2,0.55,-0.04,0.03,0.45,8.1
692,Santa Banta Pvt Ltd,3,0.5,0.0,0.0,0.0,3.0
693,Baaghi,2,0.5,0.11,0.12,0.25,5.2
694,Shortcut Safari ,1,0.55,0.1,0.03,0.49,6.0
695,One Night Stand,4,0.5,0.12,0.11,0.33,3.1
696,Traffic,6,0.45,0.07,0.06,0.35,7.6
697,1920 London,7,0.5,0.16,0.12,0.3,4.1
698,Azhar,6,0.3,0.15,0.07,0.27,5.8
699,Buddha in a Traffic Jam,6,0.5,0.02,0.08,0.3,6.9
700,Dear Dad,4,0.75,0.43,0.11,0.41,6.5
701,Kaptaan,3,0.55,0.22,0.15,0.42,6.4
702,Sarbjit,6,0.4,0.02,0.09,0.35,7.3
703,Phobia,7,0.45,-0.2,0.07,0.39,6.9
704,Veerappan,2,0.4,0.03,0.03,0.32,5.3
705,Fredrick,2,0.45,0.13,0.07,0.26,5.0
706,Waiting,3,0.5,0.07,0.06,0.38,6.8
707,Housefull 3,2,0.6,0.07,0.01,0.22,5.2
708,Do Lafzon Ki Kahani,2,0.6,0.0,0.0,0.0,6.5
709,Dhanak,4,0.5,0.26,0.18,0.34,8.4
710,Te3n,4,0.5,0.53,0.48,0.65,7.2
711,Udta Punjab,2,0.55,0.2,0.16,0.37,7.8
712,Luv U Alia,6,0.75,0.15,-0.01,0.38,5.3
713,Raman Raghav 2.0,6,0.6,0.05,0.05,0.4,7.3
714,Junooniyat,4,0.45,0.27,0.43,0.66,4.4
715,7 Hours To Go,6,0.45,0.08,0.07,0.37,5.7
716,A Scandall,5,0.4,-0.19,-0.29,0.4,7.8
717,Rough Book,4,0.2,0.22,0.08,0.44,7.4
718,Shorgul,4,0.45,0.43,0.17,0.56,5.7
719,Dil Toh Deewana Hai,4,0.6,0.0,0.0,0.0,7.1
720,Sultan,2,0.55,0.15,0.11,0.22,7.1
721,Brahman Naman,3,0.5,0.0,0.0,0.0,5.6
722,Great Grand Masti,3,0.65,0.69,0.49,0.83,3.7
723,Madaari,1,0.5,0.19,0.2,0.43,7.6
724,Ishq Click,4,0.55,0.3,0.41,0.59,4.4
725,M Cream,1,0.55,0.04,0.03,0.33,7.2
726,Kabali,2,0.4,0.18,0.17,0.31,6.3
727,Dishoom,2,0.55,0.3,0.21,0.42,5.1
728,Love Ke Funday,3,0.65,0.0,0.0,0.0,7.2
729,The Legend of Michael Mishra,3,0.5,0.0,0.0,0.0,4.5
730,Fever,4,0.5,0.01,0.03,0.34,5.6
731,Hai Apna Dil Toh Awara,3,0.5,0.0,0.0,0.0,6.4
732,Mohenjo Daro,2,0.4,-0.02,0.03,0.25,5.8
733,Rustom,6,0.5,0.16,0.11,0.3,7.1
734,Happy Bhaag Jayegi,3,0.75,0.0,0.0,0.0,6.4
735,Waarrior Savitri,2,0.5,0.0,0.0,0.0,5.1
736,A Flying Jatt,2,0.4,0.0,0.02,0.13,3.3
737,Akira,8,0.8,0.17,0.07,0.32,8.1
738,Yea Toh Two Much Ho Gayaa,2,0.6,0.0,0.0,0.0,4.4
739,Island City,6,0.45,0.18,0.09,0.33,6.7
740,Baar Baar Dekho,3,0.55,0.1,0.08,0.37,5.3
741,Freaky Ali,3,0.6,-0.12,0.11,0.22,5.0
742,Raaz Reboot,7,0.45,0.44,0.37,0.26,4.6
743,Pink,4,0.55,0.14,0.03,0.37,8.2
744,Parched,4,0.6,0.09,0.04,0.31,8.7
745,Banjo,2,0.6,0.12,0.09,0.42,5.1
746,Days of Tafree,3,0.5,0.0,0.0,0.0,7.8
747,Wah Taj,4,0.55,0.1,0.19,0.31,6.1
748,M.S. Dhoni: The Untold Story,6,0.5,0.09,0.13,0.22,7.7
749,Mirzya,4,0.55,0.28,0.19,0.33,4.7
750,MSG: The Warrior Lion Heart,1,0.4,0.0,0.0,0.0,7.5
751,Tutak Tutak Tutiya,3,0.6,0.38,0.0,0.0,5.4
752,Anna ,2,0.55,0.13,0.11,0.3,6.9
753,Motu Patlu: King Of Kings,1,0.45,0.0,0.0,0.0,7.5
754,Beiimaan Love,4,0.7,0.0,0.0,0.0,2.8
755,Saat Uchakkey,3,0.5,0.0,0.0,0.0,5.7
756,Fuddu,3,0.65,0.01,0.06,0.31,5.6
757,Ek Tera Saath,7,0.55,0.0,0.16,0.59,5.7
758,Umrika,3,0.55,0.18,0.17,0.28,6.7
759,31st October,2,0.4,0.02,0.05,0.31,5.8
760,Shivaay,2,0.6,0.22,0.14,0.4,6.3
761,Ae Dil Hai Mushkil,4,0.5,0.16,0.11,0.28,5.8
762,Chaar Sahibzaade: Rise of Banda Singh Bahadur,8,0.5,-0.48,-0.16,0.29,8.4
763,Dongri Ka Raja,2,0.5,0.0,0.0,0.0,4.3
764,Ishq Junoon,6,0.65,0.47,0.36,0.36,4.5
765,Rock On 2,4,0.45,0.12,0.09,0.35,5.0
766,Tum Bin 2,4,0.6,0.0,0.38,0.46,4.9
767,Force 2,2,0.4,0.01,0.08,0.38,6.3
768,Dear Zindagi,4,0.65,0.43,0.19,0.36,7.6
769,Saansein,7,0.55,0.14,0.04,0.11,4.0
770,Moh Maya Money,6,0.6,0.0,0.0,0.0,5.7
771,Kahaani 2,6,0.5,0.32,0.17,0.28,6.6
772,Befikre,3,0.5,0.12,0.06,0.39,3.9
773,Wajah Tum Ho,4,0.5,0.26,0.1,0.29,4.4
774,Dangal,2,0.5,0.13,0.11,0.32,8.5
775,Haraamkhor,4,0.55,0.05,0.09,0.36,6.4
776,Ok Jaanu,4,0.6,0.28,0.35,0.39,5.2
777,Coffee with D,3,0.6,0.3,0.13,0.43,4.6
778,Kaabil,2,0.45,0.28,0.26,0.4,7.1
779,Raees,2,0.6,0.18,0.11,0.27,6.9
780,Jolly LLB 2,3,0.65,0.34,0.06,0.26,7.3
781,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,2,0.5,0.0,0.0,0.0,7.0
782,Runningshaadi.com,3,0.55,0.0,0.0,0.0,6.8
783,The Ghazi Attack,2,0.45,-0.14,0.21,0.36,7.6
784,Irada,4,0.4,0.16,0.13,0.31,6.3
785,Chauhar,4,0.5,0.0,0.0,0.0,7.0
786,Rangoon,2,0.55,0.09,0.06,0.34,5.8
787,Wedding Anniversary,4,0.65,0.41,0.23,0.37,5.4
788,Mona Darling,7,0.55,0.55,0.12,0.3,5.2
789,Commando 2,2,0.45,-0.01,0.04,0.33,6.7
790,Jeena Isi Ka Naam Hai,4,0.55,-0.27,-0.1,0.0,5.6
791,Badrinath Ki Dulhania,3,0.5,0.29,0.22,0.51,6.2
792,Aa Gaya Hero,2,0.7,0.56,0.38,0.42,3.5
793,Trapped,6,0.35,-0.27,-0.02,0.25,7.6
794,Machine,2,0.5,0.02,0.09,0.29,7.7
795,Phillauri,3,0.5,0.17,0.12,0.38,6.1
796,Bhanwarey,3,0.5,0.64,0.5,0.6,7.5
797,Anaarkali of Aarah,4,0.55,0.3,0.4,0.6,6.5
798,Naam Shabana,2,0.5,0.38,0.31,0.52,6.3
799,Poorna: Courage Has No Limit,1,0.5,0.0,0.0,0.0,7.8
800,Laali Ki Shaadi Mein Laaddoo Deewana,3,0.5,0.0,0.5,0.5,3.9
801,Mirza Juuliet,4,0.55,0.0,0.0,0.0,5.1
802,Mukti Bhawan,3,0.45,0.35,0.45,0.53,7.2
803,Saanjh,4,0.6,0.24,0.26,0.35,8.4
804,Begum Jaan,2,0.5,0.08,0.1,0.19,5.6
805,Noor,4,0.5,0.13,0.08,0.32,7.7
806,Maatr,5,0.5,0.06,-0.05,0.2,4.5
807,Ajab Singh Ki Gajab Kahani,4,0.4,0.0,0.0,0.0,5.9
808,Mantostaan,4,0.5,0.0,0.0,0.0,6.1
809,Meri Pyaari Bindu,3,0.55,0.56,0.27,0.66,5.8
810,Sarkar 3,2,0.55,0.12,0.15,0.3,4.9
811,Half Girlfriend,4,0.65,0.09,-0.02,0.3,4.3
812,Jattu Engineer,3,0.5,0.03,0.1,0.78,6.1
813,Hindi Medium,3,0.5,0.16,0.12,0.3,7.8
814,Sachin: A Billion Dreams,6,0.55,0.44,0.03,0.18,8.7
815,Thodi Thodi Si Manmaaniyan,4,0.6,0.0,0.0,0.0,6.2
816,A Death in the Gunj,4,0.5,-0.34,0.1,0.26,7.5
817,Hanuman: Da' Damdaar,8,0.5,0.0,0.0,0.0,6.7
818,Sweetiee Weds NRI,3,0.55,0.0,0.0,0.0,4.0
819,Dobaara: See Your Evil,7,0.35,0.0,0.0,0.0,3.9
820,Flat 211,6,0.55,0.02,0.01,0.19,6.4
821,Dear Maya,4,0.6,0.29,0.08,0.2,5.0
822,Raabta,2,0.5,0.18,0.08,0.29,4.0
823,Behen Hogi Teri,3,0.6,0.0,0.0,0.0,5.5
824,G Kutta Se,4,0.5,0.0,0.0,0.0,8.3
825,Bank Chor,2,0.55,-0.14,-0.04,0.3,5.9
826,Tubelight,4,0.5,0.12,0.06,0.3,4.1
827,Ek Haseena Thi Ek Deewana Tha,4,0.45,0.0,0.0,0.0,5.0
828,Mom,3,0.45,0.05,0.08,0.32,7.2
829,Guest Iin London,3,0.55,0.0,0.0,0.0,5.5
830,Jagga Jasoos,2,0.5,0.07,0.11,0.29,6.4
